Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,229.800003,229.960007,219.199997,219.929993,2863900,219.929993
1/16/2014,217.529999,234.479996,217.320007,230.559998,3945100,230.559998
1/15/2014,217.029999,220,214.699997,216,1988900,216
1/14/2014,214.899994,216.979996,212.559998,216.220001,1363100,216.220001
1/13/2014,219.169998,220.339996,211.029999,213.539993,2471300,213.539993
1/10/2014,216.199997,218.789993,215.589996,218.75,2241000,218.75
1/9/2014,209.009995,215.279999,209.009995,215.25,2380100,215.25
1/8/2014,211.899994,212.580002,207.550003,209.059998,2247300,209.059998
1/7/2014,199.630005,210,198.600006,209.639999,3766800,209.639999
1/6/2014,207.729996,208.139999,202.550003,203.919998,2079300,203.919998
1/3/2014,208.410004,209.580002,205.550003,207.419998,1989300,207.419998
1/2/2014,213.979996,214,206.279999,207.639999,3574800,207.639999
