,Date,Open,High,Low,Close,Volume,Adj Close
0,7/7/2015,208.679993,212.440002,203.610001,210.979996,2041600,210.979996
1,7/6/2015,205.380005,209.850006,205.139999,209.449997,1398200,209.449997
2,7/2/2015,208.0,208.75,207.059998,207.759995,790200,207.759995
3,7/1/2015,208.869995,209.259995,206.33999599999999,207.96000700000002,1313500,207.96000700000002
4,6/30/2015,205.5,209.08999599999999,204.979996,206.630005,1591500,206.630005
5,6/29/2015,210.0,211.05000299999998,202.75,203.550003,2690000,203.550003
6,6/26/2015,217.559998,217.97000099999997,215.24000499999997,215.92999300000002,836000,215.92999300000002
7,6/25/2015,215.729996,218.0,215.55000299999998,217.88999900000002,777100,217.88999900000002
8,6/24/2015,216.75,218.22000099999997,215.25999500000003,215.69999700000002,793100,215.69999700000002
9,6/23/2015,217.11000099999998,218.270004,216.22000099999997,217.309998,826800,217.309998
10,6/22/2015,217.27999900000003,218.11000099999998,215.08999599999999,217.149994,790800,217.149994
11,6/19/2015,218.47000099999997,218.47000099999997,215.5,216.77999900000003,1257200,216.77999900000003
12,6/18/2015,215.91000400000001,219.69999700000002,215.91000400000001,217.75,1211800,217.75
13,6/17/2015,217.979996,218.63000499999998,214.020004,215.91000400000001,1157800,215.91000400000001
14,6/16/2015,215.52999900000003,217.80000299999998,215.210007,217.289993,979900,217.289993
15,6/15/2015,215.270004,217.11000099999998,213.55000299999998,215.75,989500,215.75
16,6/12/2015,217.32000699999998,217.960007,214.830002,215.72000099999997,938700,215.72000099999997
17,6/11/2015,216.960007,218.27999900000003,216.36000099999998,217.94999700000002,1089800,217.94999700000002
18,6/10/2015,216.830002,218.61999500000002,215.940002,216.69999700000002,1719300,216.69999700000002
19,6/9/2015,212.710007,219.63999900000002,211.66000400000001,216.830002,2485400,216.830002
20,6/8/2015,214.5,215.49000499999997,211.36999500000002,212.039993,1706000,212.039993
21,6/5/2015,215.0,216.92999300000002,212.169998,213.80000299999998,1811500,213.80000299999998
22,6/4/2015,214.50999500000003,217.210007,211.330002,212.830002,2680800,212.830002
23,6/3/2015,211.24000499999997,215.460007,210.32000699999998,213.25,4286900,213.25
