Date,Open,High,Low,Close,Volume,Adj Close
12/31/2013,215.429993,217.490005,213.25,216.830002,1004900,216.830002
12/30/2013,215.100006,216.119995,210.270004,214.649994,1096500,214.649994
12/27/2013,220.149994,220.860001,215.949997,216.350006,1035200,216.350006
12/26/2013,221.339996,221.809998,218,220.5,639200,220.5
12/24/2013,220.320007,222.5,218.5,220.300003,505100,220.300003
12/23/2013,219.419998,221.350006,218.050003,220.020004,1307900,220.020004
12/20/2013,219.320007,222,216.75,218.660004,2733200,218.660004
12/19/2013,215.669998,220.139999,215,219.070007,2492200,219.070007
12/18/2013,217.669998,218.440002,207.330002,215.419998,5582200,215.419998
12/17/2013,229.020004,229.479996,223.389999,223.580002,1481900,223.580002
12/16/2013,230.119995,231.729996,225.720001,228.089996,1475400,228.089996
12/13/2013,232,235.490005,228.830002,229.300003,1571600,229.300003
12/12/2013,231.899994,233.850006,228.869995,231.740005,1205700,231.740005
12/11/2013,237.110001,237.110001,230.520004,231.410004,1143700,231.410004
12/10/2013,233.789993,239.169998,233,236.979996,1618500,236.979996
12/9/2013,233.240005,237.649994,231.699997,234.809998,1735100,234.809998
12/6/2013,232.149994,235.080002,228.009995,232.990005,2656600,232.990005
12/5/2013,219.179993,227.320007,218.029999,226.440002,1663000,226.440002
12/4/2013,214.759995,221.259995,214.759995,219.020004,1387800,219.020004
12/3/2013,219.25,221.740005,215,216.429993,1449400,216.429993
12/2/2013,223.160004,223.830002,219.279999,220.389999,1295400,220.389999
11/29/2013,223.729996,226.690002,222.539993,224.029999,768700,224.029999
11/27/2013,222.279999,225.339996,219.610001,223.130005,1235600,223.130005
11/26/2013,216.889999,223.440002,214.309998,222.929993,1673500,222.929993
11/25/2013,220.190002,220.699997,212.009995,216.619995,1867700,216.619995
11/22/2013,221,222,216,220.25,1651400,220.25
11/21/2013,217.119995,221.770004,216.169998,220.610001,1015100,220.610001
11/20/2013,221.080002,223.309998,214.320007,216.190002,1192400,216.190002
11/19/2013,221.339996,225.300003,220,221.380005,1735500,221.380005
11/18/2013,227.619995,231.479996,221.009995,222.070007,2788700,222.070007
11/15/2013,225.5,233,224.880005,231.059998,3458100,231.059998
11/14/2013,220.5,223.809998,217.479996,221.440002,2062600,221.440002
11/13/2013,208.5,220.990005,208.229996,220.770004,2826800,220.770004
11/12/2013,212.789993,214.789993,208,209.279999,1781700,209.279999
11/11/2013,212.669998,216.75,210.130005,211.660004,2115800,211.660004
11/8/2013,212.520004,216.460007,208.350006,215.169998,2057400,215.169998
11/7/2013,220.660004,221.990005,210.740005,211.470001,3449300,211.470001
11/6/2013,226.990005,229.270004,220.199997,220.779999,2104200,220.779999
11/5/2013,221.210007,227.5,221.009995,224.539993,2056800,224.539993
11/4/2013,219.899994,225.229996,216.389999,223.720001,2620400,223.720001
11/1/2013,225.199997,226.199997,219.009995,219.899994,2756900,219.899994
10/31/2013,221.710007,227.429993,218,223.669998,3326900,223.669998
10/30/2013,241.589996,242.699997,222.220001,224.110001,8941600,224.110001
