Key Statistics,,,,,,,
Forward P/E,,13.56,,Trailing P/E,13.54,,
Price/Sales,,2.48,,Market Cap,77.13b,,
Ex-Dividend Date,,30-Jun-15,,Insider Ownership,0.17%,,
Price/Book,,3.61,,Institutional Owners,84.50%,,
Beta,,1.32,,Total Debt/Equity,262.19,,
Shares Outstanding,,1.00b,,Quarterly Revenue Growth (yoy),-4%,,
Profit Margin,,18.64%,,Gross Profit,n/a,,
Date,Year,Open,High,Low,Close,Volume,Adj Close
29-Apr,2015,77.129997,77.470001,77,77.160004,4322600,76.87239
28-Apr,2015,77.690002,77.730003,76.940002,77.489998,6493400,77.201154
27-Apr,2015,77.830002,77.959999,77.040001,77.489998,6901700,77.201154
24-Apr,2015,78.300003,78.330002,77.769997,77.989998,3400700,77.69929
23-Apr,2015,78.059998,78.370003,77.739998,78.150002,4815400,77.858698
22-Apr,2015,77.410004,78.650002,77.18,78.440002,7318100,78.147618
21-Apr,2015,77.379997,77.800003,77.239998,77.279999,5125000,76.991938
20-Apr,2015,77.389999,77.849998,76.959999,77.230003,8432600,76.942129
17-Apr,2015,78.400002,78.5,76.529999,77.32,22112500,77.03179
16-Apr,2015,79.43,81.169998,79.25,80.910004,8084800,80.608412
15-Apr,2015,79.43,80.300003,79.419998,79.75,6042700,79.452732
14-Apr,2015,79.599998,79.970001,78.889999,79.489998,4213200,79.193699
13-Apr,2015,79.730003,79.989998,79.260002,79.269997,4092000,78.974518
10-Apr,2015,79.419998,79.970001,79.199997,79.589996,3442000,79.293325
9-Apr,2015,78.629997,79.330002,78.410004,79.160004,4288100,78.864935
8-Apr,2015,78.419998,79.360001,78.300003,78.690002,6405800,78.396686
7-Apr,2015,78.589996,79.379997,78.260002,78.330002,5919200,78.038027
6-Apr,2015,79.339996,80.099998,78.730003,79.629997,3831100,79.333177
2-Apr,2015,78.93,79.769997,78.57,79.699997,5695200,79.402916
1-Apr,2015,78.050003,79.32,77.849998,78.93,6163500,78.635789
31-Mar,2015,77.889999,78.529999,77.620003,78.120003,5918300,77.828811
30-Mar,2015,78.349998,78.75,78,78.050003,7285200,77.500041
27-Mar,2015,78.400002,78.639999,77.709999,77.970001,9022600,77.420603
26-Mar,2015,79.669998,79.779999,77.889999,78.480003,16181300,77.927011
25-Mar,2015,81.419998,81.470001,80.029999,80.110001,8908000,79.545523
24-Mar,2015,82.040001,82.160004,81.269997,81.370003,5217800,80.796647
23-Mar,2015,82.699997,83.540001,82.199997,82.199997,7291700,81.620793
20-Mar,2015,81.790001,83.059998,81.5,82.699997,9338100,82.117269
19-Mar,2015,81.839996,81.959999,80.940002,81.540001,4677000,80.965447
18-Mar,2015,80.580002,82.32,80.269997,81.860001,6449400,81.283192
17-Mar,2015,81.199997,81.209999,80.550003,81.059998,4258200,80.488826
16-Mar,2015,80.879997,81.650002,80.75,81.5,5295100,80.925728
13-Mar,2015,81.5,81.650002,79.949997,80.599998,6919400,80.032068
12-Mar,2015,80.099998,82,80.029999,81.559998,9386600,80.985303
11-Mar,2015,79.400002,79.75,79.110001,79.449997,4546200,78.89017
10-Mar,2015,79.730003,79.769997,78.870003,79.110001,7525000,78.552569
9-Mar,2015,80.150002,80.830002,79.949997,80.510002,5846100,79.942706
6-Mar,2015,80.629997,81.150002,80.059998,80.309998,6530200,79.744111
